GEO_ID,state,county,county_name,avg_household_size,avg_family_size,pop_in_households,pop_in_school,pop_in_college,attainment_gt_12th,attainment_gt_bachelors,pop_veterans,pop_native,pop_foreign_born,naturalized_citizen,not_citizen,foreign_born_europe,foreign_born_asia,foreign_born_africa,foreign_born_oceania,foreign_born_latin_america,foreign_born_north_america,households_with_computer,households_with_internet,pop_in_labor_force,civilian_labor_force,civilian_labor_force_employed,civilian_labor_force_unemployed,armed_forces,pop_not_in_labor_force,work_commute_drove_alone,work_commute_carpooled,work_commute_public_transport,work_commute_walked,work_commute_other,work_commute_from_home,work_commute_avg_time_minutes,worker_class_private_or_salary,worker_class_government,worker_class_self_employed,worker_class_unpaid_family,median_household_income_dollars,avg_household_income_dollars,pop_noninstitutionalized,pop_with_health_insurance,pop_without_health_insurance,pop_total,pop_male,pop_female,pop_hispanic_alone,pop_white_alone,pop_black_alone,pop_american_indian_alaska_native_alone,pop_native_hawaiian_pacific_islander_alone,pop_other_race_alone,pop_two_or_more_races,pop_citizen_over_18,pop_citizen_over_18_male,pop_citizen_over_18_female,pop_in_school_not_college,attainment_lt_12th_no_diploma
0500000US23021,23,021,"Piscataquis County, Maine",2.02,2.35,16913,2561,400,12442,2942,1321,16866,397,146,251,86,101,1,0,130,79,7892,7408,8034,8018,7730,288,16,6884,5697,668,39,273,121,824,25.2,5985,1095,638,12,61345,79023,17034,15321,1713,17263,8778,8485,320,16011,164,20,0,30,575,14338,7274,7064,2161.0,1164.0
0500000US23023,23,023,"Sagadahoc County, Maine",2.25,2.67,36944,7032,1457,27310,12623,3287,36357,928,648,280,382,159,37,8,173,169,15903,15444,19849,19849,18935,914,0,11833,13063,1392,63,518,197,3102,25.8,14338,2460,2105,32,87806,107102,37022,35056,1966,37285,18266,19019,754,34291,187,14,0,133,1657,30467,14720,15747,5575.0,1221.0
0500000US23025,23,025,"Somerset County, Maine",2.16,2.67,50158,9070,1689,35723,8070,4429,50204,755,436,319,200,165,25,56,102,207,21595,20018,23848,23818,22984,834,30,18935,17240,1902,17,667,226,2490,28.0,17692,3193,2043,56,58179,76305,50393,46610,3783,50959,25364,25595,787,47820,249,71,11,90,1739,41254,20485,20769,7381.0,2589.0
0500000US23027,23,027,"Waldo County, Maine",2.25,2.75,39380,7130,1778,28292,10387,2507,39252,940,524,416,355,148,35,6,71,325,16401,15631,19714,19647,18915,732,67,14218,13356,1438,95,603,167,2888,26.6,13939,2666,2202,108,72782,91541,39920,36257,3663,40192,19929,20263,651,37315,157,73,0,224,1588,32686,16178,16508,5352.0,1932.0
0500000US23029,23,029,"Washington County, Maine",2.14,2.66,30292,5970,1249,21211,5756,2983,30179,1152,744,408,143,89,58,14,204,644,13002,11956,13892,13843,12972,871,49,12355,9474,1144,62,531,96,1217,21.6,8579,2430,1928,35,56024,74471,30823,28012,2811,31331,15449,15882,796,27440,234,1391,21,65,1280,25149,12314,12835,4721.0,2083.0
0500000US23031,23,031,"York County, Maine",2.33,2.84,213286,41225,10214,155470,59056,15382,208102,8629,5015,3614,2413,2487,806,35,1538,1350,88091,84738,118897,118094,114069,4025,803,63932,80833,8299,550,2524,1224,18876,27.7,88391,16727,8753,198,88333,110468,214777,204401,10376,216731,106750,109981,4704,195330,2418,252,56,962,10699,174972,85202,89770,31011.0,7482.0
0500000US24001,24,001,"Allegany County, Maryland",2.23,2.88,60929,14221,4798,43176,10067,4463,66065,1387,768,619,294,644,53,0,364,32,25036,23241,28211,28176,26769,1407,35,28383,20650,2187,91,664,266,2395,22.7,19298,6084,1336,51,59603,74712,62684,60313,2371,67452,35277,32175,1328,57908,4594,116,28,349,2421,54807,28756,26051,9423.0,4562.0
0500000US24003,24,003,"Anne Arundel County, Maryland",2.60,3.14,584914,147529,38556,388272,189790,44221,538218,59948,34856,25092,6671,19255,9891,187,23138,806,219514,214663,332792,318663,306806,11857,14129,146462,221445,21611,4915,5970,3939,58356,28.9,221471,70536,14542,257,124911,156835,576539,549170,27369,598166,297232,300934,62581,368792,105567,584,317,3149,32132,441088,217247,223841,108973.0,26469.0
0500000US24005,24,005,"Baltimore County, Maryland",2.50,3.15,831234,216012,67886,540635,249443,38652,738565,112231,67585,44646,12260,41514,27535,207,29675,1040,319192,304196,451798,450938,428901,22037,860,235203,292861,32848,10588,8159,7495,69717,28.0,327381,81857,18932,731,91768,122863,843930,798057,45873,850796,404260,446536,66062,435113,256262,942,210,5344,34898,626289,290633,335656,148126.0,48774.0
0500000US24009,24,009,"Calvert County, Maryland",2.80,3.24,93776,22978,4719,61911,24139,8058,90508,3805,2805,1000,940,1411,356,17,912,169,32091,31319,50107,48995,47678,1317,1112,25110,35102,2904,596,425,406,8953,39.3,31349,13768,2462,99,133922,158598,92810,89980,2830,94313,47025,47288,4863,69426,11267,93,35,554,6271,71585,35405,36180,18259.0,3297.0
