GEO_ID,gini_index,pct_republican_vote,task_force_model,warrant_service_officer,jail_enforcement_model
0500000US13079,0.4436,74.795,0,0,0
0500000US13081,0.5022,62.8265,0,0,0
0500000US13083,0.4468,82.9756,0,1,0
0500000US13085,0.4141,82.3833,0,1,0
0500000US13087,0.4791,61.8235,0,1,0
0500000US13089,0.4965,17.1095,0,0,0
0500000US13091,0.4364,74.8383,0,0,0
0500000US13093,0.437,53.6988,0,0,0
0500000US13095,0.4759,29.2585,0,0,0
0500000US13097,0.4198,33.9305,0,0,0
0500000US13099,0.4738,55.7081,0,0,0
0500000US13101,0.4488,90.8901,0,0,0
0500000US13103,0.3943,74.3378,0,0,0
0500000US13105,0.4251,71.5403,0,0,0
0500000US13107,0.4395,71.9306,0,0,0
0500000US13109,0.4336,70.9472,0,0,0
0500000US13111,0.5017,82.2068,0,0,0
0500000US13113,0.4386,51.153,0,1,0
0500000US13115,0.4679,70.7028,0,0,1
0500000US13117,0.3919,66.0265,0,1,0
0500000US13119,0.4959,86.1532,0,1,0
0500000US13121,0.5235,27.0263,0,0,0
0500000US13123,0.4229,81.0346,0,1,0
0500000US13125,0.3826,91.8563,0,0,0
0500000US13127,0.5018,62.7573,0,1,0
0500000US13129,0.442,81.4859,0,0,0
0500000US13131,0.4615,68.9028,1,1,1
0500000US13133,0.5628,64.25,0,0,0
0500000US13135,0.4316,41.1335,0,0,0
0500000US13137,0.4517,82.2251,0,0,0
0500000US13139,0.4463,71.5788,0,0,1
0500000US13141,0.4944,32.1698,0,0,0
0500000US13143,0.445,87.0142,0,0,0
0500000US13145,0.4136,72.8448,0,1,0
0500000US13147,0.4588,77.2033,0,0,0
0500000US13149,0.4821,85.9098,0,0,0
0500000US13151,0.3898,34.8606,0,0,0
0500000US13153,0.4151,55.3157,0,0,0
0500000US13155,0.4544,76.9231,0,0,0
0500000US13157,0.3922,77.2538,0,0,0
0500000US13159,0.4667,78.9976,0,1,1
0500000US13161,0.4848,84.0429,0,0,0
0500000US13163,0.4514,50.4489,0,0,0
0500000US13165,0.4667,65.0337,0,0,0
0500000US13167,0.4736,73.1175,0,0,0
0500000US13169,0.4283,68.8479,0,0,0
0500000US13171,0.4128,72.7526,0,0,0
0500000US13173,0.4853,72.9657,1,0,0
0500000US13175,0.5121,66.2042,0,0,0
0500000US13177,0.3786,71.5659,0,0,0
0500000US13179,0.4114,40.9979,0,0,0
0500000US13181,0.4046,72.176,0,0,0
0500000US13183,0.3717,64.5833,0,0,0
0500000US13185,0.4922,58.753,0,0,0
0500000US13187,0.4634,80.52,0,1,0
0500000US13189,0.4717,62.2758,0,0,0
0500000US13191,0.4941,64.0794,0,0,0
0500000US13193,0.5512,40.8878,0,0,0
0500000US13195,0.416,77.149,0,1,0
0500000US13197,0.4748,64.844,0,0,0
0500000US13199,0.4358,62.5636,0,0,0
0500000US13201,0.4668,75.0734,0,0,0
0500000US13205,0.452,58.0151,0,0,0
0500000US13207,0.469,73.1699,0,0,1
0500000US13209,0.4848,76.3403,0,0,0
0500000US13211,0.4654,72.7487,0,1,0
0500000US13213,0.4374,85.6709,0,0,0
0500000US13215,0.4911,38.0366,0,0,0
0500000US13217,0.4009,42.1551,0,0,0
0500000US13219,0.457,67.5193,0,1,0
0500000US13221,0.4486,70.9023,1,0,0
0500000US13223,0.3589,61.7347,0,0,0
0500000US13225,0.4503,52.8021,0,0,0
0500000US13227,0.4301,82.6249,0,0,0
0500000US13229,0.4743,88.6692,0,1,0
0500000US13231,0.4213,86.5726,0,0,0
0500000US13233,0.4361,80.0793,0,0,1
0500000US13235,0.4812,70.0185,0,0,0
0500000US13237,0.5282,70.9482,0,0,0
0500000US13239,0.4732,57.5439,0,0,0
0500000US13241,0.5051,78.2021,0,0,0
0500000US13243,0.5296,45.9197,0,0,0
0500000US13245,0.4862,31.6734,0,0,0
0500000US13247,0.4286,25.9322,0,0,0
0500000US13249,0.4898,81.1367,0,0,0
0500000US13251,0.4825,62.5,0,0,0
0500000US13253,0.4831,70.1522,0,0,0
0500000US13255,0.5437,58.0665,0,0,0
0500000US13257,0.4388,81.1665,0,0,0
0500000US13259,0.5488,41.7653,0,0,0
0500000US13261,0.497,48.7094,0,0,0
0500000US13263,0.4964,43.8887,0,0,0
0500000US13265,0.4069,42.4208,0,0,0
0500000US13267,0.4729,76.539,0,0,0
0500000US13269,0.5159,65.2938,0,0,0
0500000US13271,0.5074,69.5301,0,0,0
0500000US13273,0.4805,47.8,0,0,0
0500000US13275,0.458,61.9112,1,1,1
0500000US13277,0.487,67.6673,0,1,1
0500000US13279,0.4518,75.2199,0,0,0
0500000US13281,0.5399,80.9572,0,0,0
0500000US13283,0.4329,72.0923,0,0,0
0500000US13285,0.4921,61.9474,0,0,0
0500000US13287,0.4847,64.1012,1,1,1
0500000US13289,0.5105,57.2038,0,0,0
0500000US13291,0.4818,80.9676,0,0,0
0500000US13293,0.4951,69.7409,0,0,0
0500000US13295,0.4502,79.3555,0,0,1
0500000US13297,0.4261,72.6446,0,0,0
0500000US13299,0.4491,71.4216,0,0,0
0500000US13301,0.4393,47.5309,0,0,0
0500000US13303,0.4663,50.8164,0,0,0
0500000US13305,0.4401,79.7213,1,0,0
0500000US13307,0.4165,59.1317,0,0,0
0500000US13309,0.4662,72.4077,0,0,0
0500000US13311,0.4453,84.0178,0,0,0
0500000US13313,0.4511,71.9469,0,0,1
0500000US13315,0.4592,74.4846,0,0,0
0500000US13317,0.5167,58.2778,0,0,0
0500000US13319,0.4603,58.8427,0,0,0
0500000US13321,0.4389,75.0994,0,0,0
0500000US15001,0.4804,34.7102,0,0,0
0500000US15003,0.4413,38.2754,0,0,0
0500000US15005,0.2834,NA,0,0,0
0500000US15007,0.446,39.2596,0,0,0
0500000US15009,0.4575,35.9674,0,0,0
0500000US16001,0.4511,NA,0,0,0
0500000US16003,0.4683,NA,0,0,0
0500000US16005,0.4462,NA,0,0,0
0500000US16007,0.4038,NA,0,0,0
0500000US16009,0.4423,NA,0,0,0
0500000US16011,0.4205,NA,0,1,0
0500000US16013,0.4844,NA,0,0,0
0500000US16015,0.3654,NA,0,0,0
0500000US16017,0.4828,NA,0,0,0
0500000US16019,0.4251,NA,0,1,0
0500000US16021,0.4558,NA,0,0,0
0500000US16023,0.4158,NA,0,0,0
0500000US16025,0.4234,NA,0,0,0
0500000US16027,0.3947,NA,0,0,0
0500000US16029,0.3993,NA,0,1,0
0500000US16031,0.4423,NA,0,0,0
0500000US16033,0.3317,NA,0,0,0
0500000US16035,0.4324,NA,0,0,0
0500000US16037,0.4224,NA,0,0,0
0500000US16039,0.4031,NA,0,0,0
0500000US16041,0.4008,NA,1,0,0
0500000US16043,0.4293,NA,0,0,0
0500000US16045,0.4253,NA,0,0,0
0500000US16047,0.4301,NA,0,1,0
0500000US16049,0.4225,NA,0,0,0
0500000US16051,0.3748,NA,0,0,0
0500000US16053,0.4109,NA,0,0,0
0500000US16055,0.4304,NA,0,1,1
0500000US16057,0.4759,NA,0,0,0
0500000US16059,0.4948,NA,0,0,0
0500000US16061,0.4706,NA,0,0,0
0500000US16063,0.3712,NA,0,0,0
0500000US16065,0.4942,NA,0,0,0
0500000US16067,0.4419,NA,0,0,0
0500000US16069,0.4422,NA,0,0,0
0500000US16071,0.4255,NA,0,0,0
0500000US16073,0.4076,NA,1,1,0
0500000US16075,0.3909,NA,0,0,0
0500000US16077,0.3834,NA,0,1,0
0500000US16079,0.3917,NA,0,0,0
0500000US16081,0.4229,NA,0,0,0
0500000US16083,0.4422,NA,0,0,0
0500000US16085,0.4861,NA,0,0,0
0500000US16087,0.481,NA,0,1,0
0500000US17001,0.4535,72.9113,0,0,0
0500000US17003,0.4803,59.0489,0,0,0
0500000US17005,0.437,71.2301,0,0,0
0500000US17007,0.4217,56.3696,0,0,0
0500000US17009,0.4106,78.9409,0,0,0
0500000US17011,0.4216,61.1538,0,0,0
0500000US17013,0.3793,76.8284,0,0,0
0500000US17015,0.4115,64.8214,0,0,0
0500000US17017,0.4164,70.8262,0,0,0
0500000US17019,0.5147,36.7991,0,0,0
0500000US17021,0.4435,72.5507,0,0,0
0500000US17023,0.4161,74.7014,0,0,0
0500000US17025,0.4569,82.8778,0,0,0
