GEO_ID,county_name,state,county,pop_foreign_born,pop_not_citizen,pop_language_not_english,pop_not_in_labor_force,pop_private_wage_salary_workers,pop_households_fs_snap,pop_no_health_insurance,_pop_total,pop_hispanic,pop_NH_white,pop_NH_black,pop_NH_AIAN,pop_NH_asian,pop_NH_NHPI,pop_NH_some_other,pop_NH_two_or_more,pop_unhoused,pop_not_hs_graduate,pop_commute_drove_or_carpooled
0500000US29179,"Reynolds County, Missouri",29,179,15,2,28,2443,1855,379,715,6010,104,5466,89,14,14,0,3,320,204,834,2038
0500000US29181,"Ripley County, Missouri",29,181,119,68,127,4132,3005,694,1664,10708,157,9898,34,12,30,0,15,562,111,1288,3431
0500000US29183,"St. Charles County, Missouri",29,183,18504,8806,22754,102060,191937,5871,17192,414535,17405,343925,20824,135,12472,161,1667,17946,6246,12334,176278
0500000US29185,"St. Clair County, Missouri",29,185,112,78,220,3689,2851,551,994,9587,213,8898,77,16,20,0,0,363,187,976,3471
0500000US29186,"Ste. Genevieve County, Missouri",29,186,72,44,140,6185,6981,467,827,18571,279,17426,227,17,9,0,8,605,492,811,7697
0500000US29187,"St. Francois County, Missouri",29,187,1014,504,821,26320,21243,3863,6414,66999,1268,60219,1835,206,253,18,458,2742,5439,6137,23679
0500000US29189,"St. Louis County, Missouri",29,189,83143,37631,98697,280806,421968,33196,56318,995569,38412,610928,239132,530,48640,184,4838,52905,19979,38002,380866
0500000US29195,"Saline County, Missouri",29,195,1357,873,1936,7781,8097,1064,1846,23231,2932,17485,1138,24,144,321,92,1095,1630,2027,9390
0500000US29197,"Schuyler County, Missouri",29,197,35,31,276,1382,1111,100,624,4038,29,3805,8,10,22,0,0,164,39,184,1423
0500000US29199,"Scotland County, Missouri",29,199,46,46,552,1319,1505,65,1815,4686,9,4497,6,8,2,20,2,142,71,762,1760
0500000US29201,"Scott County, Missouri",29,201,229,121,768,11431,14889,2284,4019,37933,995,30667,3463,8,32,45,58,2665,532,3179,16448
0500000US29203,"Shannon County, Missouri",29,203,58,12,93,3260,1765,389,627,7177,48,6616,14,31,30,0,9,429,88,841,2263
